number,product_area,surface,source_file_module,localization_key,review_locale,english_source,current_arabic,current_badini,placeholders_interpolations,context,reason,final_status,final_notes
1,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,queueHelp,Arabic,Delayed and busiest queues appear first.,تظهر قوائم الانتظار المتأخرة والأكثر ازدحامًا أولًا.,سرایێن پاشکەفتی و یێن پتر مژویل ل سەری دیار دبن.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
2,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,arrivalHelp,Arabic,The next expected patients.,المرضى المتوقع وصولهم تالياً.,نەخوشێن ل دویفرا یێن هاتنا وان چاڤەرێکری.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
3,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,updatesHelp,Arabic,Only updates affecting today's work.,تظهر هنا فقط التحديثات التي تؤثر على عمل اليوم.,تنێ نویکرنێن کو کارێ ئەڤرو کارتێدکەن ل ڤێرێ دیارن.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
4,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,emptyBody,Arabic,"There are no appointments, queues, or arrivals for this shift.",لا توجد مواعيد أو قوائم انتظار أو حالات وصول خلال هذه الفترة.,د ڤی شێفتی دا چ ژڤان، سرا یان هاتن نینن.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
5,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,unavailable,Arabic,Portal session unavailable,جلسة البوابة غير متاحة.,دانیشتنا پۆرتالێ بەردەست نینە,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
6,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,unavailableBody,Arabic,The receptionist demo session is disabled in this environment.,جلسة الاستقبال التجريبية معطّلة في هذه البيئة.,دانیشتنا تاقیکرنا پێشوازی د ڤی ژینگەهی دا نەچالاککرییە.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
7,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,clinicDelayed,Badini,Some doctors are delayed,معلومات,هندەک نوژدار پاشکەفتینە,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
8,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,shift,Badini,Morning shift · 8:00 AM–4:00 PM,معلومات,شێفتا سپێدێ · 8:00 AM–4:00 PM,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
9,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,heading,Badini,Today at a glance,معلومات,پوختەیا ئەڤرو,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
10,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,subheading,Badini,The information you need for the current shift.,معلومات,زانیاریێن کو بو شێفتا نوکە پێدڤی نە.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
11,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,queueHelp,Badini,Delayed and busiest queues appear first.,تظهر قوائم الانتظار المتأخرة والأكثر ازدحامًا أولًا.,سرایێن پاشکەفتی و یێن پتر مژویل ل سەری دیار دبن.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
12,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,delay,Badini,Delay,معلومات,پاشکەفتن,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
13,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,arrivalHelp,Badini,The next expected patients.,المرضى المتوقع وصولهم تالياً.,نەخوشێن ل دویفرا یێن هاتنا وان چاڤەرێکری.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
14,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,confirm,Badini,Confirm arrival at reception,معلومات,هاتنێ ل پێشوازیێ پشتراست بکە,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
