number,localization_key,english,badini_kurdish,feature,context,placeholders,translator_notes
1,actionUnavailable,This action will be available in a future release.,,Shared / Home,ARB source,,
2,addPatient,Add family member,,Patient Profiles,ARB source,,
3,addToMyDoctors,Add to My Doctors,,Doctors,ARB source,,
4,alerts,Alerts,,Shared / Home,ARB source,,
5,alertsBody,Important appointment and clinic updates will appear here in a future release.,,Shared / Home,ARB source,,
6,alertsTitle,Alerts are coming soon,,Shared / Home,ARB source,,
7,appName,Saxlem,,Shared / Home,ARB source,,
8,appointmentConfirmed,Appointment confirmed,,Appointments,ARB source,,
9,appointmentDetails,Appointment Details,,Appointments,ARB source,,
10,appointmentId,Appointment ID,,Appointments,ARB source,,
11,appointmentIdValue,Appointment ID {id},,Appointments,ARB source,id,Preserve placeholders exactly.
12,appointments,Appointments,,Appointments,ARB source,,
13,appointmentsLoadFailed,We could not load your appointments.,,Appointments,ARB source,,
14,arabic,Arabic,,Shared / Home,ARB source,,
15,authUnavailable,Phone verification is not available in this build yet.,,Shared / Home,ARB source,,
16,badiniKurdish,Badini Kurdish,,Shared / Home,ARB source,,
17,book,Book,,Shared / Home,ARB source,,
18,bookAgain,Book Again,,Shared / Home,ARB source,,
19,bookAppointment,Book appointment,,Appointments,ARB source,,
20,bookingFor,Booking For,,Booking,ARB source,,
21,bookingUnavailable,Booking unavailable,,Booking,ARB source,,
22,cancelled,Cancelled,,Shared / Home,ARB source,,
23,changeNumber,Change number,,Shared / Home,ARB source,,
24,chooseAppointment,Choose an appointment,,Appointments,ARB source,,
25,chooseClinic,Choose a clinic,,Shared / Home,ARB source,,
26,chooseDate,Choose a date,,Shared / Home,ARB source,,
27,chooseLanguage,Choose your language,,Localization,ARB source,,
28,choosePatient,Choose Patient,,Patient Profiles,ARB source,,
29,chooseTime,Choose a time,,Shared / Home,ARB source,,
30,clearFilters,Clear filters,,Shared / Home,ARB source,,
31,clinic,Clinic,,Shared / Home,ARB source,,
32,completed,Completed,,Shared / Home,ARB source,,
33,confirmAppointment,Confirm appointment,,Appointments,ARB source,,
34,confirmingAppointment,Confirming appointment,,Appointments,ARB source,,
35,consultationMinutes,{minutes} min consultation,,Shared / Home,ARB source,minutes,Preserve placeholders exactly.
36,continueAsGuest,Continue as Guest,,Shared / Home,ARB source,,
37,continueLabel,Continue,,Shared / Home,ARB source,,
38,country,Country,,Shared / Home,ARB source,,
39,currentPatient,Current Patient,,Patient Profiles,ARB source,,
40,date,Date,,Shared / Home,ARB source,,
41,dateOfBirth,Date of birth,,Shared / Home,ARB source,,
42,deleteNotification,Delete notification,,Notifications,ARB source,,
43,developmentCodeHint,Development code: {code},,Shared / Home,ARB source,code,Preserve placeholders exactly.
44,discover,Discover,,Shared / Home,ARB source,,
45,discoverDoctors,Discover Doctors,,Doctors,ARB source,,
46,doctorProfile,Doctor Profile,,Doctors,ARB source,,
47,doctorStatus,Doctor status,,Doctors,ARB source,,
48,duration,Duration,,Shared / Home,ARB source,,
49,earlier,Earlier,,Shared / Home,ARB source,,
50,emptyAppointmentsBody,Your appointments in this category will appear here.,,Appointments,ARB source,,
51,emptyAppointmentsTitle,Nothing here right now,,Appointments,ARB source,,
52,english,English,,Shared / Home,ARB source,,
53,estimatedWait,Estimated wait,,Shared / Home,ARB source,,
54,estimatedWaitMinutes,Estimated wait: {minutes} min,,Shared / Home,ARB source,minutes,Preserve placeholders exactly.
55,fee,Fee,,Shared / Home,ARB source,,
56,filters,Filters,,Shared / Home,ARB source,,
57,findRightCare,Find the right care,,Shared / Home,ARB source,,
58,findRightCareBody,Search in everyday words. We'll help you find doctors who may be able to help.,,Shared / Home,ARB source,,
59,firstAppointmentBody,Book your first visit with a trusted doctor.,,Appointments,ARB source,,
60,firstAppointmentTitle,Your care starts here,,Appointments,ARB source,,
61,firstName,First name,,Shared / Home,ARB source,,
62,gender,Gender,,Shared / Home,ARB source,,
63,goodAfternoon,"Good afternoon,",,Shared / Home,ARB source,,
64,goodEvening,"Good evening,",,Shared / Home,ARB source,,
65,goodMorning,"Good morning,",,Shared / Home,ARB source,,
66,goToAppointments,Go to My Appointments,,Appointments,ARB source,,
67,guestMode,Guest mode,,Shared / Home,ARB source,,
68,guestModeMessage,"You can explore Saxlem, but booking and personal appointments require verification.",,Shared / Home,ARB source,,
69,home,Home,,Shared / Home,ARB source,,
70,informationalScreen,Informational screen,,Shared / Home,ARB source,,
71,iqdAmount,{amount} IQD,,Shared / Home,ARB source,amount,Preserve placeholders exactly.
72,iraq,Iraq,,Shared / Home,ARB source,,
73,languageCanChange,You can change this later in your profile.,,Localization,ARB source,,
74,languageSaveFailed,We couldn't save your language. Please try again.,,Localization,ARB source,,
75,lastName,Last name,,Shared / Home,ARB source,,
76,live,LIVE,,Shared / Home,ARB source,,
77,liveQueue,Live queue,,Live Queue,ARB source,,
78,loadingAppointments,Loading your appointments,,Appointments,ARB source,,
79,loadingBooking,Loading booking options,,Booking,ARB source,,
80,logOut,Log out,,Shared / Home,ARB source,,
81,minutesLong,{minutes} minutes,,Shared / Home,ARB source,minutes,Preserve placeholders exactly.
82,minutesShort,min,,Shared / Home,ARB source,,
83,myAppointments,My Appointments,,Appointments,ARB source,,
84,notificationAlmostTurn,You're almost next,,Notifications,ARB source,,
85,notificationAlmostTurnHappened,Your current number is {number}.,,Notifications,ARB source,number,Preserve placeholders exactly.
86,notificationAlmostTurnNext,Please head to reception and stay nearby.,,Notifications,ARB source,,
87,notificationAlmostTurnWhy,The queue has moved closer to your turn.,,Notifications,ARB source,,
88,notificationBookingHappened,Your appointment with {doctor} is confirmed.,,Notifications,ARB source,doctor,Preserve placeholders exactly.
89,notificationBookingNext,Review the appointment details and arrive at the recommended time.,,Notifications,ARB source,,
90,notificationBookingWhy,The clinic accepted your booking request.,,Notifications,ARB source,,
91,notificationDetails,Notification details,,Notifications,ARB source,,
92,notificationGeneralHappened,There is a new update about your care.,,Notifications,ARB source,,
93,notificationGeneralNext,Review the update and follow any instructions shown.,,Notifications,ARB source,,
94,notificationGeneralWhy,New information became available.,,Notifications,ARB source,,
95,notificationQueueOpened,Your queue is open,,Notifications,ARB source,,
96,notificationQueueOpenedHappened,The live queue for {doctor} is now available.,,Notifications,ARB source,doctor,Preserve placeholders exactly.
