ID,English source,Arabic current,Badini current,Translation status,Surface,Feature,Source file/key,Hardcoded?,Duplicate/inconsistent?,Native review needed?,Notes
S13U-0001,$bookLabel ${doctor.name},,,RUNTIME_DATA_COMPOSITION,Flutter,home/navigation,mobile/lib/features/home/presentation/widgets/recommended_doctor_card.dart:108,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0002,$date • $time,,,RUNTIME_DATA_COMPOSITION,Flutter,appointments,mobile/lib/features/appointments/presentation/widgets/appointment_card.dart:57,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0003,$label. ${profile.displayName}. ${context.l10n.choosePatient},,,RUNTIME_DATA_COMPOSITION,Flutter,profile/account,mobile/lib/features/family_profiles/presentation/widgets/patient_selector.dart:26,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0004,$patientsAhead patients ahead,,,RUNTIME_DATA_COMPOSITION,Flutter,appointments,mobile/lib/features/home/presentation/widgets/next_appointment_card.dart:131,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0005,$title. $message,,,RUNTIME_DATA_COMPOSITION,Flutter,queue,mobile/lib/design_system/components/feedback/saxlem_state_view.dart:37; mobile/lib/features/live_queue/presentation/widgets/connection_status_banner.dart:36; mobile/lib/features/live_queue/presentation/widgets/live_queue_session_message.dart:25,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0006,"${appointment.doctor.displayName}, $date, $time",,,RUNTIME_DATA_COMPOSITION,Flutter,appointments,mobile/lib/features/appointments/presentation/widgets/appointment_card.dart:26,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0007,${context.l10n.dateOfBirth}: ${birth.year}-${birth.month}-${birth.day},,,RUNTIME_DATA_COMPOSITION,Flutter,profile/account,mobile/lib/features/family_profiles/presentation/pages/add_patient_page.dart:87,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0008,${context.l10n.dateOfBirth}: ${dateOfBirth.year}-${dateOfBirth.month}-${dateOfBirth.day},,,RUNTIME_DATA_COMPOSITION,Flutter,profile/account,mobile/lib/features/family_profiles/presentation/pages/primary_profile_setup_page.dart:95,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0009,${context.l10n.gender}: ${context.l10n.patientGender(gender.name)},,,RUNTIME_DATA_COMPOSITION,Flutter,profile/account,mobile/lib/features/family_profiles/presentation/pages/add_patient_page.dart:72,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0010,${context.l10n.relationship}: ${context.l10n.patientRelationship(relationship.name)},,,RUNTIME_DATA_COMPOSITION,Flutter,profile/account,mobile/lib/features/family_profiles/presentation/pages/add_patient_page.dart:54,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0011,${controller.country.isoCode ==,,,RUNTIME_DATA_COMPOSITION,Flutter,authentication,mobile/lib/features/authentication/presentation/pages/phone_number_page.dart:43,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0012,${copy.currentPatient} ${snapshot.anonymousCurrentToken ??,,,RUNTIME_DATA_COMPOSITION,Flutter,queue,mobile/lib/features/live_queue/presentation/widgets/live_queue_position_card.dart:22,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0013,"${copy.date(confirmation.startsAt, timezone: confirmation.clinicTimezone)} ·",,,RUNTIME_DATA_COMPOSITION,Flutter,appointments,mobile/lib/features/booking/presentation/pages/booking_success_page.dart:57,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0014,${copy.estimatedWait} ${snapshot.estimatedWaitLowerMinutes} to,,,RUNTIME_DATA_COMPOSITION,Flutter,queue,mobile/lib/features/live_queue/presentation/widgets/live_queue_estimate_card.dart:25,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0015,${copy.title}. ${copy.happened}. ${copy.next},,,RUNTIME_DATA_COMPOSITION,Flutter,notifications,mobile/lib/features/notifications/presentation/widgets/notification_card.dart:18,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0016,${day.slots.length},,,RUNTIME_DATA_COMPOSITION,Flutter,appointments,mobile/lib/features/booking/presentation/widgets/date_selector.dart:27,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0017,${queue.careProviderDisplayName} · ${queue.serviceDisplayName},,,RUNTIME_DATA_COMPOSITION,Flutter,queue,mobile/lib/features/home/presentation/widgets/live_queue_card.dart:138,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0018,${semanticParts.join(,,,RUNTIME_DATA_COMPOSITION,Flutter,doctor discovery,mobile/lib/features/discover/presentation/widgets/doctor_result_card.dart:37,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0019,${snapshot.estimatedWaitLowerMinutes}–${snapshot.estimatedWaitUpperMinutes} min,,,RUNTIME_DATA_COMPOSITION,Flutter,queue,mobile/lib/features/live_queue/presentation/widgets/live_queue_estimate_card.dart:39,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0020,${snapshot.patientsAhead} ${copy.patientsAhead.toLowerCase()},,,RUNTIME_DATA_COMPOSITION,Flutter,queue,mobile/lib/features/live_queue/presentation/widgets/live_queue_position_card.dart:66,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0021,${strings.guestMode}. ${strings.guestModeMessage},,,RUNTIME_DATA_COMPOSITION,Flutter,home/navigation,mobile/lib/features/home/presentation/pages/home_page.dart:155,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0022,${strings.guestMode}: ${strings.guestModeMessage},,,RUNTIME_DATA_COMPOSITION,Flutter,home/navigation,mobile/lib/features/home/presentation/pages/home_page.dart:163,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0023,${strings.sessionExpiredTitle}\n${strings.sessionExpiredBody},,,RUNTIME_DATA_COMPOSITION,Flutter,authentication,mobile/lib/features/authentication/presentation/pages/welcome_page.dart:87,No,No,No,Localized label combined with runtime data; not standalone English copy.
S13U-0062,6-digit verification code,رمز تحقق مكوّن من 6 أرقام,کودێ پشتراستکرنێ یێ 6 ژمارەیی,COMPLETE,Flutter,authentication,"mobile/lib/l10n/app_{en,ar,ku}.arb#otpLabel",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0063,750 123 4567,معلومات,زانیاری,COMPLETE,Flutter,shared,"mobile/lib/l10n/app_{en,ar,ku}.arb#phoneHint",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0064,8-128 non-whitespace printable ASCII characters. Identical completed requests replay; reuse for different input conflicts.,,,USER_VISIBLE,Backend user-visible,queue,backend/src/modules/arrivals/presentation/arrivals.controller.ts:86,No,No,Yes,Sprint 13U backend boundary classification: USER_VISIBLE.
S13U-0065,8–128 printable ASCII characters. Conflicting reuse returns 409.,,,USER_VISIBLE,Backend user-visible,queue,backend/src/modules/notifications/presentation/notifications.controller.ts:95; backend/src/modules/queue/presentation/queue.controller.ts:63,No,No,Yes,Sprint 13U backend boundary classification: USER_VISIBLE.
S13U-0078,A new clinic-wide notice is available.,معلومات,راگەهاندنەکا نوی بو کلینیکێ بەردەستە.,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-notifications/presentation/messages.ts#announcementWhat,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0079,A patient account is required.,,,MACHINE_CONTRACT,Backend user-visible,profile/account,backend/src/modules/patients/application/patient.service.ts:267,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0080,A patient is already current.,,,MACHINE_CONTRACT,Backend user-visible,queue,backend/src/modules/queue/infrastructure/prisma-queue.repository.ts:693,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0081,A read-only session update is available.,معلومات واضحة وآمنة.,نویکرنەکا نوی یا دانیشتنێ بو خواندنێ تنێ بەردەستە.,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-notifications/presentation/messages.ts#genericDescription,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0082,A read-only view of today's session.,عرض للقراءة فقط لجلسة اليوم.,زانیاری,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-schedule/presentation/messages.ts#subtitle,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0083,A required security audit could not be recorded. Retry later.,,,USER_VISIBLE,Backend user-visible,shared,backend/src/modules/doctors/presentation/doctors.controller.ts:117; backend/src/modules/doctors/presentation/doctors.controller.ts:138; backend/src/modules/doctors/presentation/doctors.controller.ts:98,No,No,Yes,Sprint 13U backend boundary classification: USER_VISIBLE.
S13U-0084,A required staff-read audit could not be recorded.,,,USER_VISIBLE,Backend user-visible,profile/account,backend/src/modules/doctors/presentation/clinic-hours.controller.ts:30; backend/src/modules/patients/presentation/patients.controller.ts:68; backend/src/modules/patients/presentation/patients.controller.ts:93,No,No,Yes,Sprint 13U backend boundary classification: USER_VISIBLE.
S13U-0085,A required staff-read audit could not be recorded. Retry later.,,,USER_VISIBLE,Backend user-visible,shared,backend/src/modules/doctors/presentation/doctors.controller.ts:193,No,No,Yes,Sprint 13U backend boundary classification: USER_VISIBLE.
S13U-0086,A scheduled break is approaching.,معلومات واضحة وآمنة.,بێهنڤەدانا دیارکری نێزیکە.,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-notifications/presentation/messages.ts#breakDescription,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0087,A scheduled lunch break appears in today's timeline.,راجع المعلومات قبل المتابعة.,بێهنڤەدانا خوارنێ یا دیارکری د خشتەیا ئەڤرو دا دیارە.,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-schedule/presentation/messages.ts#lunchApproachingHelp,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0088,A Self profile already exists.,,,MACHINE_CONTRACT,Backend user-visible,profile/account,backend/src/modules/patients/application/patient.service.ts:167; backend/src/modules/patients/infrastructure/prisma-patient.repository.ts:106,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0089,A valid Idempotency-Key header is required.,,,MACHINE_CONTRACT,Backend user-visible,billing,backend/src/modules/administration/application/administration.service.ts:126; backend/src/modules/appointments/application/appointment.service.ts:431; backend/src/modules/arrivals/application/arrival.service.ts:106; backend/src/modules/billing/application/billing.service.ts:164; backend/src/modules/notifications/application/notification.service.ts:57; backend/src/modules/queue/application/queue.service.ts:227,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0090,About,نبذة,دەربارە,COMPLETE,Flutter,shared,"mobile/lib/l10n/app_{en,ar,ku}.arb#biographyLabel",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0091,About Saxlem,حول ساخلەم,دەربارەی ساخلەم,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts#about,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
